,stored_energy
2014-01-01,
2014-01-06,
2014-01-13,
2014-01-20,
2014-01-27,
2014-02-03,
2014-02-10,
2014-02-17,
2014-02-24,
2014-03-03,
2014-03-10,
2014-03-17,
2014-03-24,
2014-03-31,
2014-04-07,
2014-04-14,
2014-04-21,
2014-04-28,
2014-05-05,
2014-05-12,
2014-05-19,
2014-05-26,
2014-06-02,
2014-06-09,
2014-06-16,
2014-06-23,
2014-06-30,
2014-07-07,
2014-07-14,
2014-07-21,
2014-07-28,
2014-08-04,
2014-08-11,
2014-08-18,
2014-08-25,
2014-09-01,
2014-09-08,
2014-09-15,
2014-09-22,
2014-09-29,
2014-10-06,
2014-10-13,
2014-10-20,
2014-10-27,
2014-11-03,
2014-11-10,
2014-11-17,
2014-11-24,
2014-12-01,
2014-12-08,2822828.0
2014-12-15,2761903.0
2014-12-22,2766707.0
2015-01-01,2737368.0
2015-01-05,2648112.0
2015-01-12,2622624.0
2015-01-19,2456362.0
2015-01-26,2289749.0
2015-02-02,2121193.0
2015-02-09,1832396.0
2015-02-16,1642339.0
2015-02-23,1498497.0
2015-03-02,1632116.0
2015-03-09,1314307.0
2015-03-16,1211849.0
2015-03-23,1111858.0
2015-03-30,1112498.0
2015-04-06,1120162.0
2015-04-13,1134908.0
2015-04-20,1191820.0
2015-04-27,1254809.0
2015-05-04,1518660.0
2015-05-11,1720675.0
2015-05-18,1917460.0
2015-05-25,1916174.0
2015-06-01,2052323.0
2015-06-08,2229232.0
2015-06-15,2405020.0
2015-06-22,2498453.0
2015-06-29,2492731.0
2015-07-06,2532015.0
2015-07-13,2555627.0
2015-07-20,2543616.0
2015-07-27,2573500.0
2015-08-03,2610486.0
2015-08-10,2638154.0
2015-08-17,2683473.0
2015-08-24,2707234.0
2015-08-31,2670356.0
2015-09-07,2656060.0
2015-09-14,2653075.0
2015-09-21,2680678.0
2015-09-28,2644538.0
2015-10-05,2621532.0
2015-10-12,2591506.0
2015-10-19,2493778.0
2015-10-26,2409220.0
2015-11-02,2394525.0
2015-11-09,2392543.0
2015-11-16,2344375.0
2015-11-23,2287176.0
2015-11-30,2249053.0
2015-12-07,2214811.0
2015-12-14,2108071.0
2015-12-21,2064510.0
2015-12-28,2031601.0
2016-01-04,1978425.0
2016-01-11,2042176.0
2016-01-18,1893646.0
2016-01-25,1812965.0
2016-02-01,1808771.0
2016-02-08,1748370.0
2016-02-15,1645290.0
2016-02-22,1523088.0
2016-02-29,1368108.0
2016-03-07,1308303.0
2016-03-14,1165647.0
2016-03-21,1032395.0
2016-03-28,993525.0
2016-04-04,1023632.0
2016-04-11,1039776.0
2016-04-18,1087120.0
2016-04-25,1079049.0
2016-05-02,1078797.0
2016-05-09,1190531.0
2016-05-16,1355507.0
2016-05-23,1498294.0
2016-05-30,1723111.0
2016-06-06,1902719.0
2016-06-13,2131614.0
2016-06-20,2271954.0
2016-06-27,2424740.0
2016-07-04,2595652.0
2016-07-11,2689942.0
2016-07-18,2746988.0
2016-07-25,2774693.0
2016-08-01,2815144.0
2016-08-08,2845905.0
2016-08-15,2843018.0
2016-08-22,2826938.0
2016-08-29,2746637.0
2016-09-05,2675879.0
2016-09-12,2580900.0
2016-09-19,2606349.0
2016-09-26,2512710.0
2016-10-03,2454430.0
2016-10-10,2321294.0
2016-10-17,2262240.0
2016-10-24,2211351.0
2016-10-31,2271496.0
2016-11-07,2313148.0
2016-11-14,2333679.0
2016-11-21,2455207.0
2016-11-28,2486202.0
2016-12-05,2388603.0
2016-12-12,2256174.0
2016-12-19,2066183.0
2016-12-26,1978452.0
2016-01-01,
2017-01-02,1731080.0
2017-01-09,1506079.0
2017-01-16,1352500.0
2017-01-23,988159.0
2017-01-30,907065.0
2017-02-06,971170.0
2017-02-13,937230.0
2017-02-20,935748.0
2017-02-27,843774.0
2017-03-06,856354.0
2017-03-13,873142.0
2017-03-20,851557.0
2017-03-27,841629.0
2017-04-03,839510.0
2017-04-10,858713.0
2017-04-17,872913.0
2017-04-24,909507.0
2017-05-01,926378.0
2017-05-08,1016298.0
2017-05-15,1169199.0
2017-05-22,1337825.0
2017-05-29,1648732.0
2017-06-05,1907481.0
2017-06-12,2069304.0
2017-06-19,2246981.0
2017-06-26,2376558.0
2017-07-03,2453834.0
2017-07-10,2469901.0
2017-07-17,2472334.0
2017-07-24,2515875.0
2017-07-31,2534378.0
2017-08-07,2550592.0
2017-08-14,2543603.0
2017-08-21,2523198.0
2017-08-28,2493281.0
2017-09-04,2483308.0
2017-09-11,2446898.0
2017-09-18,2416702.0
2017-09-25,2356294.0
2017-10-02,2309797.0
2017-10-09,2246056.0
2017-10-16,2208835.0
2017-10-23,2184170.0
2017-10-30,2160397.0
2017-11-06,2079340.0
2017-11-13,1987997.0
2017-11-20,1861449.0
2017-11-27,1786793.0
2017-12-04,1535027.0
2017-12-11,1497896.0
2017-12-18,1464078.0
2017-01-01,1493019.0
